test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
lr,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,1,8936240309162264619,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0012999953469261527,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,2,7428679144570726470,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.030499999411404133,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,2,7428679144570726470,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.000800006091594696,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,2,7428679144570726470,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0013000026228837669,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,3,1488286183078445266,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.0301000036415644,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,3,1488286183078445266,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0006999980541877449,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,3,1488286183078445266,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0016999983927235007,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,4,4254020701497251284,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,1.8121283361422125,0.17825312672128563,1,0.1294999965466559,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,30,0.2,4,4254020701497251284,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0012000018614344299,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,4,4254020701497251284,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0012999953469261527,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,0,4252903538484150392,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.031000003218650818,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,0,4252903538484150392,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0007999988156370819,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,0,4252903538484150392,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0012999953469261527,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,1,5480721657621830601,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,0.8209737660857711,0.3648956132960529,1,0.11680000170599669,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,30,0.4,1,5480721657621830601,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0012000018614344299,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,1,5480721657621830601,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0017999991541728377,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,2,8975716206778128835,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,1.6541060906792917,0.1984009903194103,1,0.13239999680081382,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,30,0.4,2,8975716206778128835,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0013000026228837669,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,2,8975716206778128835,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0013999961083754897,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,3,2868402048173145336,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.030800001695752144,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,3,2868402048173145336,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,3,2868402048173145336,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.001700005668681115,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,4,8548216248079561584,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.033299998904112726,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,4,8548216248079561584,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,4,8548216248079561584,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0012999953469261527,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,0,7338243660904050538,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,3.2179093524906538e-06,0.9985687129840255,1,0.1263999947695993,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.0,0,7338243660904050538,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,0,7338243660904050538,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,1,6064463372350678533,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,1.3416115414334384,0.24674996949422578,1,0.1112000027205795,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.0,1,6064463372350678533,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
